"employeeCode,""daysWorked"",""otHours"",""monthlyGross"",""grossWages"",""totalDeduction"",""netWages"",""Uniform Washing"",""Basic+D.A."""
"E001,22,10,5000,5200,200,5000,50,100"
"E002,20,8,4800,5000,150,4850,30,80"
"E003,23,12,5100,5400,180,5220,60,90"
"E004,21,9,4700,4950,170,4780,40,85"
"E005,22,11,5000,5250,190,5060,55,95"
"E006,20,7,4600,4800,140,4660,25,70"
"E007,19,6,4500,4700,130,4570,20,65"
"E008,24,10,5200,5500,200,5300,70,110"
"E009,22,8,4950,5150,160,4990,45,85"
"E010,21,9,4750,5000,150,4850,35,75"
