employeeCode,designation,daysWorked,basic,da,perDayRate,perHourRate,Basic + D.A.,house_rent_allowance,otHours,gross,grossWages,advance,pf,totalDeduction,netWages,dateOfAdvance
EMP001,Skilled,24,585.58,96.58,1152.85,132.74,16372,1637,8,5000,29230,0,1800,2265,26965,22-02-2026
EMP002,Unskilled,24,585.58,96.58,1152.85,132.74,16372,1637,8,5000,29230,200,1800,2265,26965,22-02-2026
EMP003,Skilled,23,585.58,96.58,1107.83,127.11,15690,1569,10,5000,26751,300,1800,2255,24496,22-02-2026
EMP004,Unskilled,18,585.58,96.58,1107.83,127.11,12279,1228,14,5000,21720,0,1800,2205,19515,22-02-2026
EMP005,Skilled,22,585.58,96.58,1107.83,127.11,15008,1501,12,5000,25898,0,1800,2245,23653,22-02-2026
EMP006,Unskilled,22,585.58,96.58,1107.83,127.11,15008,1501,0,5000,24372,500,1800,2245,22127,22-02-2026
EMP007,Skilled,15,585.58,96.58,1107.83,127.11,10232,1023,8,5000,17634,0,1800,2175,15459,22-02-2026
EMP008,Unskilled,23,585.58,96.58,1020.23,116.16,15690,1569,40,5000,28112,0,1800,2255,25857,22-02-2026
EMP009,Skilled,23,585.58,96.58,989.39,112.31,15690,1569,55,5000,31433,100,1800,2255,29178,22-02-2026
EMP010,Unskilled,24,585.58,96.58,989.39,112.31,16372,1637,50,5000,32361,0,1800,2265,30096,22-02-2026
