employeeCode,designation,daysWorked,basic,da,perDayRate,perHourRate,Basic + DA,Medical Allowance,Bonus,house_rent_allowance,otHours,gross,OT Amount,Attendance Bonus,grossWages,advance,PF,PT,ESI,Labour Wellfare,Canteen,totalDeduction,netWages,dateOfAdvance
EMP001,Skilled,24,585.58,96.58,1152.85,132.74,16372,7477,1364,1637,8,5000,1062,500,29230,0,1800,200,0,25,240,2265,26965,02-02-2026
EMP002,Unskilled,24,585.58,96.58,1152.85,132.74,16372,7477,1364,1637,8,5000,1062,500,29230,200,1800,200,0,25,240,2265,26965,02-02-2026
EMP003,Skilled,23,585.58,96.58,1107.83,127.11,15690,6130,1307,1569,10,5000,1271,0,26751,300,1800,200,0,25,230,2255,24496,02-02-2026
EMP004,Unskilled,18,585.58,96.58,1107.83,127.11,12279,4797,1023,1228,14,5000,1780,0,21720,0,1800,200,0,25,180,2205,19515,02-02-2026
EMP005,Skilled,22,585.58,96.58,1107.83,127.11,15008,5863,1250,1501,12,5000,1525,0,25898,0,1800,200,0,25,220,2245,23653,02-02-2026
EMP006,Unskilled,22,585.58,96.58,1107.83,127.11,15008,5863,1250,1501,0,5000,0,0,24372,500,1800,200,0,25,220,2245,22127,02-02-2026
EMP007,Skilled,15,585.58,96.58,1107.83,127.11,10232,3998,852,1023,8,5000,1017,0,17634,0,1800,200,0,25,150,2175,15459,02-02-2026
EMP008,Unskilled,23,585.58,96.58,1020.23,116.16,15690,4115,1307,1569,40,5000,4646,0,28112,0,1800,200,0,25,230,2255,25857,02-02-2026
EMP009,Skilled,23,585.58,96.58,989.39,112.31,15690,3406,1307,1569,55,5000,6177,0,31433,100,1800,200,0,25,230,2255,29178,02-02-2026
EMP010,Unskilled,24,585.58,96.58,989.39,112.31,16372,3554,1364,1637,50,5000,5615,500,32361,0,1800,200,0,25,240,2265,30096,02-02-2026
